serial,machine,domain,title,verdict,validator_url,paper_url,doi
BR-L1-A1,breeder,reduced-order,Breeder 0-D power & particle balance (config 22021),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-L1-A1.html,https://www.kronosfusionenergy.com/publications/breeder.html,https://doi.org/10.5281/zenodo.22132235
BR-L1-A2,breeder,reduced-order,Mission-point re-optimization (source-strength vs centrepost-life),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-L1-A2.html,https://www.kronosfusionenergy.com/publications/breeder.html,https://doi.org/10.5281/zenodo.22132235
BR-L1-A3,breeder,reduced-order,Near-aneutronic (He-3-rich) operating-point scan,reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-L1-A3.html,https://www.kronosfusionenergy.com/publications/breeder.html,https://doi.org/10.5281/zenodo.22132235
BR-L1-A4,breeder,reduced-order,Reduced-order confinement quasilinear baseline,reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-L1-A4.html,https://www.kronosfusionenergy.com/publications/breeder.html,https://doi.org/10.5281/zenodo.22132235
BR-L1-A11,breeder,transport,Flux-driven integrated transport / profile prediction (TGYRO),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-L1-A11.html,https://www.kronosfusionenergy.com/publications/negative-triangularity-confinement.html,https://doi.org/10.5281/zenodo.22132098
BR-L1-A5,breeder,neutronics,3-D Monte-Carlo neutron transport (OpenMC ENDF/B-VIII.0),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-L1-A5.html,https://www.kronosfusionenergy.com/publications/nuclear-data-uq-for-the-tbr.html,https://doi.org/10.5281/zenodo.22132200
BR-L1-A6,breeder,tritium,Tritium-cycle surplus & startup-inventory model,reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-L1-A6.html,https://www.kronosfusionenergy.com/publications/tritium-fuel-cycle-and-breeding-ladder.html,https://doi.org/10.5281/zenodo.22132123
BR-L1-A7,breeder,anchor,Negative-triangularity (d=-0.30) design re-anchor & audit,reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-L1-A7.html,https://www.kronosfusionenergy.com/publications/verification-and-validation-47-code-provenance.html,https://doi.org/10.5281/zenodo.22132164
BR-L1-A12,breeder,equilibrium,Free-boundary equilibrium + ideal-MHD stability,reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-L1-A12.html,https://www.kronosfusionenergy.com/publications/ideal-mhd-stability.html,https://doi.org/10.5281/zenodo.22132110
BR-L1-A14,breeder,fast-ion,Fast-ion (alpha) confinement + first-wall loading,reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-L1-A14.html,https://www.kronosfusionenergy.com/publications/alpha-fast-product-confinement.html,https://doi.org/10.5281/zenodo.22132106
BR-L1-A8,breeder,tritium,Tritium fuel-cycle dynamics,reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-L1-A8.html,https://www.kronosfusionenergy.com/publications/tritium-fuel-cycle-and-breeding-ladder.html,https://doi.org/10.5281/zenodo.22132123
BR-L1-A9,breeder,thermal,Blanket thermal-hydraulics + walk-away decay-heat,reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-L1-A9.html,https://www.kronosfusionenergy.com/publications/ech-thermal-barrier-decoupling.html,https://doi.org/10.5281/zenodo.22132209
BR-L1-A10,breeder,activation,Activation inventory + waste classification,reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-L1-A10.html,https://www.kronosfusionenergy.com/publications/low-activation-alloys.html,https://doi.org/10.5281/zenodo.22132119
BR-L1-A13,breeder,damage,Neutron damage (dpa) + component lifetime,reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-L1-A13.html,https://www.kronosfusionenergy.com/publications/first-wall-neutron-damage-lifetime.html,https://doi.org/10.5281/zenodo.22132198
BR-L1-A13b,breeder,damage,Centrepost life <-> inboard-shield trade-off,reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-L1-A13b.html,https://www.kronosfusionenergy.com/publications/first-wall-neutron-damage-lifetime.html,https://doi.org/10.5281/zenodo.22132198
BR-OUT-1,breeder,tritium,Tritium self-sufficiency de-risked; export scale,reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-OUT-1.html,https://www.kronosfusionenergy.com/publications/tritium-fuel-cycle-and-breeding-ladder.html,https://doi.org/10.5281/zenodo.22132123
BR-OUT-2,breeder,isotope,Helium-3 domestic flow,reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-OUT-2.html,https://www.kronosfusionenergy.com/publications/isotopes-and-14-mev-applications.html,https://doi.org/10.5281/zenodo.22132152
BR-OUT-3,breeder,neutrons,14 MeV neutrons operating-class domestic source,reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-OUT-3.html,https://www.kronosfusionenergy.com/publications/nuclear-data-uq-for-the-tbr.html,https://doi.org/10.5281/zenodo.22132200
KX-L1-A1,shared,optimization,Design-closure optimization (HC/BC corner mapping),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/KX-L1-A1.html,https://www.kronosfusionenergy.com/publications/admissible-operating-window-synthesis.html,https://doi.org/10.5281/zenodo.22132231
KX-L1-A2,shared,stability,Structured confinement & stability review,reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/KX-L1-A2.html,https://www.kronosfusionenergy.com/publications/ideal-mhd-stability.html,https://doi.org/10.5281/zenodo.22132110
KX-L1-A3,shared,radiation,Electron-cyclotron / synchrotron radiation transport (CYTRAN-class),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/KX-L1-A3.html,https://www.kronosfusionenergy.com/publications/synchrotron-radiation-transport.html,https://doi.org/10.5281/zenodo.22132195
